num,sentence
"1,お前たちはバカ。"
"2,本当に気味が悪いと思った。"
"3,君は偉いことをやったね。"
"4,彼は知識に貪欲である。"
"5,あなたは風邪が治りましたか。"
"6,彼はその雑誌を急いで見た。"
"7,どうでしたか、コンサートは？"
"8,母は真珠のネックレスをくれた。"
"9,あなたは夕食を作らなければなりませんか。"
"10,その母親は息子にどう対処していいか分からなかった。"
"11,必ずこのハガキを投函しなさい。"
"12,すべての将兵が力を合わせて反撃した。"
"13,我々は行方不明の子を求めて森の中を探した。"
"14,たばこを吸うことやお酒をたくさん飲むことなどが体に悪いことだ。"
"15,メニューをお願いします。"
"16,ジョンは家庭より仕事第一です。"
"17,私は音楽を聞き分かる力がない。"
"18,彼は頭脳明晰だ。"
"19,しかしペパーバーグは、そのオウムを研究することによって、動物に対する考え方が変わったといっている。"
"20,それは、一瞬で変わりました。"
"21,目覚ましがなりました。"
"22,君に何か作って食べさせたい。"
"23,私はあわててやったので間違いをおかした。"
"24,ちょっと休んだら？"
"25,スペイン語が話せたらよかったのに。"
"26,それは本当かも知れないと彼女は言った。"
"27,私たちは６年間ずっと東京に住んでいます。"
"28,彼はよく夕食に魚を食べる。"
"29,あなたの時計では今何時ですか？"
"30,彼はここ１０年間ずっとここに住んでいます。"
"31,私は始発列車に乗りたかった。"
"32,このポエムをタジク語に誰が訳しましたか？"
"33,別々に包んでください。"
"34,それは中国で人気です。"
"35,この言葉はギリシャ語に由来している。"
"36,昨日私は仕事がなかった。"
"37,私はそのとき非常に不愉快な体験をした。"
"38,すべての芸術はたえず音楽の状態に憧れる。"
"39,知っていることと実行することは別物だ。"
"40,彼は健康のおかげで出世できたのだ。"
"41,そのことであなたは考え違いをしている。"
"42,この商売は儲かりません。"
"43,隣人は残念ながら交通事故に遭って、昏睡状態になってしまった。"
"44,多分彼はノーベル賞を受賞することができるだろう。"
"45,私が他の子供たちに言った小言はお前には当てはまらないよ。"
"46,フルート独奏をやるつもりです。"
"47,彼はその学識で知られている。"
"48,サンプルが必要でしたらご連絡下さい。"
"49,責任があるのは君だ。"
"50,多くのテレビ番組が子供たちに悪い影響を与えている。"
"51,君がいくのはまっぴらだ。"
"52,日本は、世界の多くの国々と貿易している。"
"53,まっすぐ前方を見なさい。"
"54,実は彼はその試験を受けてさえいなかったのだ。"
"55,ドアには手書きのメモが貼ってあった。"
"56,農夫は荒くれ馬にじっと我慢した。"
"57,私達の乗った列車は長いトンネルを通過した。"
"58,彼女はコートを着ました。"
"59,彼女は何をするにも慎重であった。"
"60,教会は森と湖に囲まれている。"
"61,何か趣味がありますか？例えば絵を描くみたいな。"
"62,彼らは出来るだけ大声で叫んだ。"
"63,夜は雨になるらしい。"
"64,これらの伝説は私達の子孫に語り継がれるべきだ。"
"65,彼は自分の事しか考えない。"
"66,私はパーティーで彼女を見かけました。"
"67,この猫はあの猫と同じくらい大きい。"
"68,そのため彼は自制した。"
"69,彼は死ぬでしょうか。"
"70,誰がこれを書いたの？"
"71,トムはメアリーに食べ物を少し残してあげた。"
"72,彼は数学で私に優っている。"
"73,昇進が気になるの？"
"74,内容が件名で判断出来ますので、記入をお願い致します。"
"75,小屋の屋根は雪の重みでミシミシと音を立てた。"
"76,一歩一歩学ばなければなりません。"
"77,これらの中からどれでも一つ選びなさい。"
"78,彼女が出席してくれて私たちは大喜びです。"
"79,彼はその車をただで手にいれた。"
"80,生徒たちはたくさんの詩をそらで覚えた。"
"81,彼は去年たばこをやめようとしたが無駄だった。"
"82,我々は勝利を収めた。"
"83,彼は日に平均１０時間は勉強した。"
"84,多くの人手は仕事を軽くする。"
"85,トムをあてにしているんだ。"
"86,彼らは普通月曜から金曜まで学校に行きます。"
"87,お客様の住所を書いて下さい。"
"88,私はフランス語も英語も話せない。"
"89,この段落の意味分かる？"
"90,実際にはまだ誰も銃で撃ったことがない。"
"91,その道は行き止まりだった。"
"92,安い輸入品で綿製品が供給過剰になった。"
"93,トムさんはまだ親のすねをかじっています。"
"94,手短に言えば、その企画は失敗だった。"
"95,父は日曜日はただテレビを見るだけだ。"
"96,彼はもうそろそろ帰るはずだ。"
"97,少年は息を吹き返した。"
"98,雨だったので出かけられなかった。"
"99,その船には石炭や材木などが積まれていた。"
"100,話変えてもいい？"
"101,レックスは途方も無く大きな犬だった。"
"102,私の立っている場所からその塔が見える。"
"103,天気いいし今日は一日休みだし、どっか行きたいなあ。"
"104,彼の本当の名を誰も知らない。"
"105,腕をまっすぐ伸ばしなさい。"
"106,車の調子が何処か悪いのですか。"
"107,夜食にインスタントラーメンを食べた。"
"108,彼にひとつ買うように納得されるのに、君ならなんと言いますか。"
"109,そのリストの中であなたの名前はなんですか?"
"110,その法案は今会期中に成立する見通しである。"
"111,天気がこんなにいいなんてついてるね。"
"112,土曜日は店を閉めることにしよう。"
"113,バニラアイスクリームを二つ下さい。"
"114,今は、それについてコメントしたくない。"
"115,重要書類が持ち出されている。"
"116,ウラウラとした日差しに誘われて、眠りに落ちた。"
"117,私は禁煙席を頼んだのですが。"
"118,彼はその問題に精通している。"
"119,そのドアは開いていることがある。"
"120,私はしばしばそこへいったことがあります。"
"121,彼女はこの闘争で勝利を収めた。"
"122,映画に行きませんか。"
"123,雷がその塔に落ちた。"
"124,君ここを動くんじゃないぞ。"
"125,君はアメリカに行くのなら、英語に磨きをかけたほうがいいよ。"
"126,彼はたいへん注意深い。"
"127,当店にはベートーベンの交響曲の録音の完全なセットがございます。"
"128,たぶん午後は雨が降るだろう。"
"129,そんな謝んなくていいよ。名前間違えられたくらいで怒ったりしないから。"
"130,本当にトムは犬が怖くないの？"
"131,トムと飲みに行くんだったら、突拍子もないホラを吹くだろうから、覚悟した方がいいよ。"
"132,切符を買う間、スーツケースを見ていてください。"
"133,ルシーはアメリカからきた学生だ。"
"134,彼女はにこにこしてうれしそうだった。"
"135,彼女は贅沢にそだてられた。"
"136,彼は毎朝電気カミソリで顔をそる。"
"137,その姪は彼女の叔母さんのように見えます。"
"138,彼は散歩が好きです。"
"139,６時間ごとに薬を飲まなければなりません。"
"140,トムはハイというだろう。"
"141,春になると川がここであふれる。"
"142,負けるが勝ち。"
"143,私は毎朝６時に起きることにしている。"
"144,あなたの辞書を貸してくださいませんか。"
"145,私はトムがいつ日本を発つのか知らない。"
"146,必ず２時にそこへ行きます。"
"147,皆さんはこのスーパーで牛乳を買いません。"
"148,トムはジョンがしたことをメアリーに話さないでおこうと決めた。"
"149,彼女は強い性格の女性だ。"
"150,多くの困難の後、何とか彼女は車を運転できるようになった。"
"151,家が見える。"
"152,彼女は主任に休暇を申し出た。"
"153,彼女の家に行くのは気をつけたほうがいいよ。"
"154,その問題は私の専門外だ。"
"155,私は彼らにチケットをもう一枚送ってくれるように頼んだ。"
"156,彼らは航海に出た。"
"157,新宿へ行くにはどこで乗り換えですか。"
"158,私は学校に通っています。"
"159,これらの箱はプラスチック製だ。"
"160,嵐のため散歩に行けなかった。"
"161,最近の調査は大都市の人口密度がていかしていることを示した。"
"162,トムは泳ぐのが好きです。"
"163,私たちはこの問題に関して合意に達することが出来るだろうか。"
"164,それを考えるとぞっとする。"
"165,そろそろ寝てもいい？"
"166,アメリカの対日貿易赤字は解決の見通しがありません。"
"167,父は毎朝ジョギングする。"
"168,喋るのをやめろ。"
"169,あの国では個性が重視される。"
"170,私は将来できればパイロットになりたいと思います。"
"171,私達は一生懸命勉強する必要がある。"
"172,彼らは今回は違うに違いないと信じて、彼らの声はその違いを生んだ。"
"173,彼女は作文が優秀だ。"
"174,その光景を見て肝をつぶした。"
"175,ケイトはなくしていた時計を見つけた。"
"176,彼は腹をたてた。"
